elapsed_time (sec),CO2 (ppm)
2,486
4,491
6,482
8,488
10,488
12,488
14,487
16,488
18,488
20,488
22,488
24,488
27,488
29,488
31,488
33,488
35,488
37,488
39,488
41,488
43,489
45,489
47,489
49,489
51,489
53,490
55,490
58,491
60,491
62,491
64,492
66,492
68,493
70,493
72,494
74,494
76,495
78,496
80,496
82,497
85,497
87,497
89,497
91,497
93,497
95,498
97,498
99,498
101,498
103,498
105,498
107,498
109,498
111,497
113,497
116,497
118,497
120,497
122,497
124,497
126,497
128,497
130,497
132,496
134,496
136,496
138,496
141,496
143,496
145,495
147,495
149,495
151,494
153,494
155,494
157,493
159,493
161,493
163,493
165,492
167,492
169,492
172,491
174,491
176,490
178,490
180,490
182,490
184,490
186,490
188,490
190,490
192,491
194,491
197,491
199,491
201,491
203,491
205,491
207,492
209,492
211,492
213,492
215,492
217,493
219,493
221,493
223,494
225,494
228,495
230,495
232,495
234,496
236,496
238,496
240,496
242,497
244,496
246,496
248,497
250,497
252,497
255,497
257,496
259,496
261,496
263,496
265,496
267,496
269,496
271,496
273,496
275,496
277,496
279,496
281,496
284,496
286,496
288,496
290,496
292,496
294,496
296,495
298,494
300,494
302,493
304,493
306,492
308,492
310,490
312,491
315,491
317,491
319,491
321,491
323,491
325,491
327,491
329,492
331,492
333,493
335,493
337,493
340,493
342,493
344,494
346,494
348,494
350,494
352,494
354,494
356,494
358,495
360,495
362,495
364,496
366,496
369,497
371,498
373,499
375,499
377,500
379,501
381,501
383,502
385,502
387,503
389,503
391,504
394,504
396,504
398,504
400,504
402,504
404,504
406,503
408,503
410,503
412,503
414,502
416,502
418,500
420,500
422,499
425,497
427,496
429,495
431,495
433,494
435,493
437,493
439,492
441,493
443,493
445,493
447,493
449,493
452,493
454,493
456,493
458,493
460,493
462,493
464,494
466,494
468,494
470,494
472,494
474,494
476,494
478,494
480,494
483,494
485,494
487,494
489,494
491,494
493,494
495,494
497,494
499,494
501,494
503,494
505,495
508,495
510,496
512,496
514,497
516,497
518,497
520,499
522,500
524,501
526,501
528,502
530,503
532,503
534,503
536,503
539,503
541,503
543,503
545,503
547,503
549,502
551,501
553,500
555,499
557,498
559,498
561,497
563,496
566,496
568,496
570,496
572,496
574,496
576,497
578,497
580,498
582,499
584,499
586,499
588,499
590,499
593,499
595,499
597,499
599,498
601,498
603,498
605,497
607,497
609,497
611,496
613,496
615,496
617,496
619,496
621,496
624,498
626,499
628,500
630,500
632,501
634,502
636,501
638,501
640,499
642,499
644,497
646,496
648,492
651,490
653,489
655,488
657,485
659,484
661,481
663,478
665,476
667,472
669,469
671,463
673,461
675,461
677,459
679,458
682,458
684,456
686,454
688,456
690,454
692,456
694,452
696,450
698,451
700,451
702,451
704,448
706,448
709,447
711,449
713,447
715,447
717,447
719,447
721,448
723,449
725,451
727,452
729,452
731,450
733,451
735,453
737,452
740,452
742,452
744,451
746,450
748,451
750,451
752,451
754,445
756,446
758,446
760,448
762,448
764,450
766,448
769,449
771,449
773,448
775,447
777,448
779,448
781,448
783,446
785,447
787,447
789,446
791,446
793,452
795,454
798,454
800,456
802,455
804,455
806,455
808,455
810,455
812,454
814,453
816,452
818,453
820,456
822,454
825,454
827,455
829,455
831,455
833,455
835,456
837,457
839,458
841,459
843,459
845,460
847,460
849,461
851,462
853,466
856,470
858,473
860,476
862,478
864,479
866,481
868,484
870,492
872,500
874,499
876,486
878,489
880,491
882,469
884,474
887,478
889,451
891,452
893,453
895,458
897,463
899,466
901,476
903,484
905,485
907,488
909,480
911,450
914,452
916,455
918,454
920,459
922,447
924,452
926,462
928,463
930,470
932,480
934,483
936,486
938,493
940,489
942,486
945,485
947,483
949,483
951,483
953,489
955,490
957,492
959,493
961,494
963,495
965,494
967,492
970,491
972,490
974,487
976,485
978,483
980,481
982,480
984,479
986,478
988,476
990,474
992,472
994,469
996,467
999,464
1001,462
1003,463
1005,462
1007,462
1009,462
1011,461
1013,460
1015,459
1017,458
1019,458
1021,458
1023,457
1026,456
1028,456
1030,455
1032,455
1034,457
1036,456
1038,457
1040,456
1042,456
1044,456
1046,456
1048,455
1050,456
1052,456
1054,455
1057,455
1059,454
1061,454
1063,454
1065,453
1067,453
1069,452
1071,451
1073,449
1075,449
1077,449
1079,448
1082,448
1084,447
1086,447
1088,447
1090,447
1092,447
1094,447
1096,448
1098,448
1100,448
1102,449
1104,448
1106,448
1108,448
1110,448
1113,448
1115,447
1117,448
1119,447
1121,447
1123,447
1125,447
1127,447
1129,447
1131,447
1133,446
1135,446
1137,446
1140,446
1142,446
1144,446
1146,447
1148,447
1150,447
1152,447
1154,447
1156,447
1158,447
1160,447
1162,447
1164,447
1166,447
1169,438
1171,442
1173,429
1175,434
1177,444
1179,449
1181,451
1183,452
1185,453
1187,455
1189,456
1191,459
1193,457
1195,457
1197,459
1200,460
1202,459
1204,461
1206,463
1208,462
1210,462
1212,457
1214,458
1216,459
1218,462
1220,464
1222,466
1224,466
1226,467
1229,468
1231,467
1233,466
1235,466
1237,466
1239,466
1241,466
1243,466
1245,466
1247,468
1249,468
1251,469
1253,469
1255,469
1257,470
1260,471
1262,472
